ページ数,追加文字列,削除文字列,文脈,分類カテゴリ,分類理由
6,さらに,更に,さらに更に、我が国の経済は1990年代以降長期停滞にあり、一人当たりGDPは２位,1,「更に」から「さらに」への表記の統一による変更。
6,、ガザ地区におけるイスラエルの軍事行動,,国際関係では、民主主義国家と非民主主義国家の分断、ロシアによるウクライナ侵略、ガザ地区におけるイスラエルの軍事行動など、地政学等に大きな転換をもたらしつつある事態が生じている。,6,新たな地政学的事態を追加し、内容が具体化されたため。
7,人,人間,認識させることとなった。自然に対する畏敬の念を持つ等、我が国の伝統的な自然観の下、自然との共生を目指すとともに、地球の健康と人人間の健康とを一体的に捉える,6,「人間」から「人」への変更は意味に影響を与えるため。
7,さらに,更に,（スピードとスケール）の確保を図ること、また、海外の自然資本に大きく依存する我が国として「人類の福祉」への貢献が必要である。複合する危機に対応し、諸課題をカップリングして解決するため、諸政策の統合・シナジーが不可欠であり、この問題意識に基づき、具体的には第２部第２章において重点戦略を設定した。さらに更に、「全員参加型」のパートナーシップの下、政府（国、地方公共団体等）、市場（企業等）、国民,1,「更に」から「さらに」への表記の統一が行われたため。
9,以下「///」という。,,国連気候変動枠組条約第28回締約国会議（以下「COP28」という。）における決定によれば、2015年に採択されたパリ協定に基づく各国の取組が完全に実施された場合、地球の平均気温の上昇は2.1～2.8℃の範囲になると予想されている。他方、国際的な目標となっている1.5℃の上昇に首尾良く抑えることができたとしても、広い意味では22023年のような現状と比べて特異な状況3が常態化してしまうおそれがある4ことを念頭,5,「///」は文の意味に影響を与えない軽微な変更です。
9,,今年特有の気圧パターン等を背景とした個々の気象事例が再現されるという意味ではない。,2今年特有の気圧パターン等を背景とした個々の気象事例が再現されるという意味ではない。,6,文章の一部削除により、意味が変わっているため。
9,,（注：気象庁の最新データに基づき具体的数値を記述予定）,"32023年は世界各地で異常高温が発生し、各国の月平均気温や季節平均気温の記録更新が報告された。また、海洋温暖化の進行や氷河・氷床の融解により平均海面も上昇し、1993年以降最高値が観測された。さらに、気象災害も多く発生し、大雨やサイクロン等によりアフリカを中心に多数の死者を伴う被害が報じられたほか、カナダ、ハワイ、ギリシャなどで、それぞれ史上最大規模の森林火災が発生した。我が国においても、年平均気温は全国的に高く（注：気象庁の最新データに基づき具体的数値を記述予定）、5月から9月の全国の熱中症による救急搬送者数は91,467人（前年比＋20,438人、約1.3倍）となった。また、6月から7月中旬にかけての梅雨期には、各地で記録的な大雨が発生したが、この大雨に対してイベント・アトリ",3,出典や具体的数値の記述予定を示す注釈が削除されたため。
10,の統計開始,,我が国においても、2023年の年平均気温は1898年の統計開始以降で最も高く、1898年から2023年の間に100年当たり1.35℃の割合で上昇した。日本の年平均気温の上昇は世界平均よりも速く進行しており、真夏日や猛暑日、熱帯夜等の日数が増加していることが指摘されているほか、日本国内の大雨や短時間強雨の発生頻度も増加しており、各地で被害が発生している。加えて、高温による農作物の生育障害や品質低下が発生するなど、様々な地域、分野への気候変動の影響が既に発生している。2010年以降、熱中症による救急搬送者は年間４万人を超えているが、最も温暖化が進むシナリオ（RCP8.5シナリオ）では、その人数は3.2～13.5倍程度増加する予測結果を示す研究事例5もある。また、地球温暖化による異常気象の発生確率や強さの影響を定量的に評価するイベント・アトリビューションの手法によって、国内の異常高温や大雨、頻発する災害などの因果関係も明らかになりつつある。,3,「の統計開始」は「1898年の統計開始」を補足するための追加。
10,2015～2019,平成27～31,5文部科学省「気候変動適応技術社会実装プログラム（SI-CAT）」（2015～2019平成27～31年度）,1,年号の表記を西暦に統一するフォーマットの正規化。
10,。（///「平成24///年版通商白書」///（2012///年///）,（通商///白書2012///第///2///章第///3///節 我が国をはじめとした周辺国・地域の通商環境等に大きな影響を与えたタイの洪水///、///、2012///http://www.meti.go.jp/report/tsuhaku2012/2012honbun_p/2012_02-3.pdf///）。,62011年に発生したタイの大洪水では、自動車やエレクトロニクス産業等において、タイ国内外の広範なサプライチェーンが大きな影響を受け、世界の工業生産を推計で約2.5％押し下げたとされている。（（通商白書2012第2章第3節 我が国をはじめとした周辺国・地域の通商環境等に大きな影響を与えたタイの洪水、経済産業省「平成24年版通商白書」（2012年）、2012http://www.meti.go.jp/report/tsuhaku2012/2012honbun_p/2012_02-3.pdf）。,3,出典情報の補完として「平成24年版通商白書」（2012年）が追加されたため。
