id,comment,reply,該当変更点情報
1,個々の問題とそれに対する施策は書かれているが、最終的に国としてどうありたいのか、どういう姿に辿り着きたいのかが見えてこない。個々の対策ではなりゆきの計画にしかならず、最終的にどこに向かっているのかが見えない。希望や新たな成長といった曖昧なものではなく、具体的なビジョンを示して国としてのゴールを明確にすべきである。,目指すべき持続可能な社会の姿としては、第 1 部第２章１において、環境収容力を守り環境の質を上げることによって成長・発展できる文明、「循環共生型社会」としています。ご意見は今後の施策の参考とさせていただくとともに、国民の皆さまにわかりやすい説明に努めてまいります。,該当変更点: 該当なし
2,"全体的に、従来型の「経済成長」に主軸を置いた内容になっている。もちろん経済は重要だが、あまりに経済重視に偏った結果として、現在のような気候危機やプラ問題、化学物質汚染が深刻化している。だから、しばらくは環境重視でいかないとバランスが取れないと言うのが、環境省の立場であるはずだ。例えば、４０頁 1９行「環境政策を起点として」、３５行「短期的な収益のみを追い求めたりするのではなく」など、環境省の思いは書かれているが、それが全体として読み取れないのは残念である。
「環境価値」を政府内で代表する立場として、こうした点を強調した書き方が必要ではないかと思うし、４６頁６行「政府の環境価値の内部化」とは、そういうことなのではないのか。是非、思いだけでなく、言うべきことはしっかり明記すべきである。",「新たな成長」とは、GDP や賃金などに代表される市場的価値に加え、安心・安全や健康で心豊かな生活に代表される非市場的価値の双方を相乗的に引き上げていくもので、その基盤は、まずはストックとしての自然資本の維持・回復・充実を図ることとし、環境負荷の総量を抑えて自然資本のこれ以上の毀損を防止し、気候変動、生物多様性の損失及び汚染の危機を回避するとともに、自然資本を充実させ良好な環境を創出し、持続可能な形で利用することによって「ウェルビーイング／高い生活の質」に結びつけていくとしています。そうした考えを踏まえ、「環境を軸として環境・経済・社会の統合的向上の「高度化」を図る」という表現を使用しておりますので、原案のとおりとさせていただきます。,"該当変更点:
- 変更ID: 53
  理由: 環境・経済・社会の統合的向上を図る旨を明記している。
- 変更ID: 54
  理由: 環境・経済・社会の統合的向上を図る旨を明記している。"
3,"全体をみて言えることは環境負荷を定量化する方法が見えてきません。その方法が明記されていないので美辞麗句や半数の人が理解できない言葉を使い理解できないまま終わるか終わらせる意図のようです。開発または保全の判断基準が明らかでなく罰則の目安もありません。保全地の候補なりその予定地が全くわかりませんが具体的に進捗していますか。経済発展は国の要であり必要な福祉・治安の基礎となりますが環境保全とそれぞれの問題に対し優先順位の判断がどこでされますか、地方自治体の長の判断では困る国全体の経済基盤の要となる事など問題も多々あり、その決定権が明確になっていないのは重大な欠陥であるとおもいます。
美辞麗句に彩られたスカスカの文面より具体的に環境保全の場所とその内容を明らかにしていただきたいと思います。","環境基本計画は、国の環境政策について総合的かつ長期的な施策の方針や基本的考え方を定めるものであり、今回の計画の編集方針として、個別施策の具体的な数値目標は基本的に各個別の計画に記述するとともに、ご指摘の考え方については、第２部第２章２（１）「自然資本を維持・回復・充実させるための国土利用」において記載しております。
いただいたご意見については、今後の施策の参考とさせていただきます。",該当変更点: 該当なし
4,気候変動対策と称して、発電効率の悪いのにソーラーや風力発電がクローズアップされていることに違和感を感じています。しかも、環境破壊をしてまで建設する意味が理解できません。政府は検証をしなければなりません。費用対効果は出されていますか～CO2 削減効果を建設から撤去まで含めて数字を出せていますか～いわゆる専門家と言われる人たちの意見だけではなく、その専門家の人たちに明確な数字を出して説明する説明責任を持たせていますか～そもそも、日本は世界の CO2 排出の 3%ほどしか出していません。その日本がカーボンニュートラルを実現したところで、地球の温度に与える影響は、0.006 度(神谷議員が国会で提示されています。)これらの数字に対して明確な提示を政府は示していません。国民はそれを望んでいません。それにお金を使うなら、大学まで無償保証したとしても、5 兆円ほどあれば可能であるという試算もあります。そう言った政策の方が余程、国民の未来のためです。,再生可能エネルギー導入の必要性は、第 2 部第２章１（１）において、環境負荷の削減、天然資源の投入量の低減、海外へのエネルギー依存度の低減を通じたエネルギー安全保障の確保、我が国における企業立地競争力の確保等の観点から、その必要性を述べていますので、原案のとおりとさせていただきます。,該当変更点: 該当なし
5,高い生活の質はとても分かりにくい表現である。以前の「質の高い生活」の方がまだ理解しやすい。,ウェルビーイングの趣旨は「質の高い生活」を指すのではなく、「高い生活の質の状態」を指していることから、原案のとおりとさせていただきます。,該当変更点: 該当なし
6,「人の健康」「人間の健康」に関しては、後者で統一できますと幸いです（計 19 箇所）。,全体を通じ、「人の健康」に統一いたします。,"該当変更点:
- 変更ID: 3
  理由: 「人間の健康」を「人の健康」に変更している。
- 変更ID: 93
  理由: 「人間」を「人」に変更している。
- 変更ID: 182
  理由: 「人間の健康」を「人の健康」に変更している。"
7,"・我が国日本は、必要無い利権が多々あります。特に、ソーラーパネル利権、メガソーラーパネル利権、エコキュート利権、電気自動車利権、風力発電利権、二酸化炭素吸収装置利権は必要の無い利権です。ソーラーパネル、メガソーラーパネルの設置は必要ありません。エコキュート、電気自動車、風力発電、二酸化炭素吸収装置も必要無いです。地球温暖化は100％嘘であり、カネ儲け目的を企んでいる組織や勢力が、「地球は温暖化している」という嘘を付き、「地球温暖化商売」でカネ儲けをしております。
又、地球温暖化の原因は二酸化炭素の増加が原因ではありません。カネ儲け目的を企んでいる組織や勢力が、「地球温暖化の原因は二酸化炭素の増加が原因」という嘘を付き、「二酸化炭素商売」カネ儲けをしております。ですので、「地球温暖化商売」、「二酸化炭素商売」でカネ儲けをしている組織や勢力が、「地球は温暖化している」、「地球温暖化の原因は二酸化炭素の増加が原因」という嘘を付き、ソーラーパネル、メガソーラーパネル、エコキュート、電気自動車、風力発電、二酸化炭素吸収装置でカネ儲けをしているだけです。ですので、早急に、どのような理由でも言い訳、言い分でもソーラーパネル、メガソーラーパネル、エコキュート、電気自動車、風力発電、二酸化炭素吸収装置の普及や設置を中止して頂きたい。",気候変動に関する政府間パネル（IPCC）の第６次評価報告書では、「人間活動が主に温室効果ガスの排出を通して地球温暖化を引き起こしてきたことには疑う余地がなく、 1850～1900 年を基準とした世界平均気温は 2011～2020 年に 1.1°C の温暖化に達した」と示されたところです。政府では、こうした科学的知見を踏まえ、気候変動対策に取り組んでおります。以上のことから、原案のとおりとさせていただきます。,該当変更点: 該当なし
8,環境問題の前提になる地球温暖化や化石燃料の埋蔵量について、非科学的な論理がまかり通っていると考える。たとえば、「国連のグテーレス事務総長が『地球温暖化の時代は終わり、地球沸騰化の時代が到来した』」という引用は、危機感をあおるだけで、なんら科学的根拠に基づいているものではない。温暖化についても、ここ数年多少の気温上昇が認められるものの、地球全体の長い歴史から考えれば微々たるものと言わざるを得ず、科学者によっては「地球はゆっくりと寒冷化している」と考えている。また、温暖化の原因は、CO2 だけではないし、化石燃料も埋蔵量に限度があるとは言っても、石油などはまだ数百年分の余力があるとも言われている。環境問題の解決策として、CO2 の削減や自然エネルギーの推進が叫ばれるが、本当にそれが解決への糸口になるのか大いに疑問である。,気候変動に関する政府間パネル（IPCC）の第６次評価報告書では、「人間活動が主に温室効果ガスの排出を通して地球温暖化を引き起こしてきたことには疑う余地がなく、 1850～1900 年を基準とした世界平均気温は 2011～2020 年に 1.1°C の温暖化に達した」 と示されたところです。政府では、こうした科学的知見を踏まえ、気候変動対策に取り組んでいることから、原案のとおりとさせていただきます。,該当変更点: 該当なし
9,"「2023  年の世界の年平均気温は観測史上最も高く、産業革命以前の平均と比較して  1.45℃（± 0.12）高くなり」ですが、観測史上というスパンがせいぜい 150 年しかないにもかかわらず、かつてないほど気温が上昇しているかのごとく表現しているのは恣意的です。修正してください。
また、「我が国を含む世界で異常高温、気象災害が多発した」っていうのも、何が原因だったのか明確でないし、「多発」というのは何と比較して多発であったのかが不明確です。この表現も、あたかも地球温暖化阻止のために Co2 削減が至上命題であるかの如く持っていこうとする意図が感じられます。
さらには、「2020 年に発生した新型コロナウイルス感染症のパンデミックは、人類が生態系の一部であること、環境、生態系のバランスの乱れには巨大なリスクを伴うこと等を明らかにした」なんてのは、まったく意味不明です。どちらかというと、パンデミックは人為的に起こせることを明らかにした」っていう方が真実と思えます。
そもそも、全体を通して、再エネによる自然破壊・災害発生の要因となることに全く触れていないのは、大きな問題です。",気候変動に関する政府間パネル（IPCC）の第６次評価報告書では、「人間活動が主に温室効果ガスの排出を通して地球温暖化を引き起こしてきたことには疑う余地がなく、 1850～1900 年を基準とした世界平均気温は 2011～2020 年に 1.1°C の温暖化に達した」 と示されたところです。政府では、こうした科学的知見を踏まえ、気候変動対策に取り組んでいることから、原案のとおりとさせていただきます。,"該当変更点:
- 変更ID: 8
  理由: コメントの「観測史上」に関連し、統計開始年を明記。
- 変更ID: 6
  理由: コメントの「異常高温」に関連し、気象事例の再現について削除。
- 変更ID: 7
  理由: コメントの「異常高温」に関連し、具体的数値の記述予定を削除。"
10,"Ｇ７広島首脳コミュニケで、「世界の  GHG 排出量を  2019 年比で  2030 年度までに約  43％、2035 年までに約 60％削減することの緊急性が高まっている」と盛り込んだのなら、日本も 2013年ではなく 2019 年比で削減を目標にして頂けないのでしょうか？2013 年は東日本大震災後で一時的に石炭火力発電で CO2 排出量が増えた時期かと思います。ここを基準に削減目標を定めるのは、本当に環境の危機を考えての目標設定なのでしょうか？
この目標値が各自治体の目標値に使われ施策が行われていきますので非常に重要な値と認識しております。是非将来世代の環境を維持するために、適切な目標を定めて頂ければ幸いです。","環境基本計画は、国の環境政策について総合的かつ長期的な施策の方針を定めるものであり、個別施策の具体的な数値目標は各個別の計画と併せて検討するものです。我が国は、現在、パリ協定の 1.5 度目標と整合的な形で、2050 年カーボンニュートラルとともに、2030 年度に 2013 年度比 46%削減、さらに 50%の高みに向けた挑戦の継続という目標を掲げており、まずは、この⽬標の達成に向けて、⾜下の取組を着実に進めていきます。その上で、次期 NDC については、IPCC による科学的知見や排出削減の実績等を踏まえつつ、関係省庁が連携してしっかりと検討していきます。
以上のことから、原案のとおりとさせていただきます。",該当変更点: 該当なし
